Date,Product,Price
2023-11-16,SSC GD (COMBO) MATH +REASONING+GK+HINDI,468
2023-11-16,Don't Believe Everything You Think (English),178
2023-11-16,Atomic Habits,"154
                              
                               ."
2023-11-16,"PW Physics Med Easy Notes | Notes, Formulas, Mnemonics, Tips & Tricks for NEET/JEE & Board Exams | MR Sir Physics Handwritten Notes",0
2023-11-16,My First Library: Boxset of 10 Board Books for Kids,499
2023-11-16,The Psychology Of Money,"353
                              
                               ."
2023-11-16,Ikigai,0
2023-11-16,The Power of Your Subconscious Mind,421
2023-11-16,THE 48 LAWS OF POWER,399
2023-11-16,Brain Activity Book for Kids - 200+ Activities for Age 3+,309
2023-11-16,"SAME AS EVER: Timeless Lessons on Risk, Opportunity and Living a Good Life (From the author of The Psychology Of Money)","175
                              
                               ."
2023-11-16,Diary Of A Wimpy Kid: No Brainer (Book 18),410
2023-11-16,"Do It Today: Overcome procrastination, improve productivity and achieve more meaningful things [Paperback] Foroux, Darius",346
2023-11-16,BRAHMASTRA Complete Maths Multicolored Formula Book Second Edition BILINGUAL by Aditya Ranjan Sir,"189
                              
                               ."
2023-11-16,Colouring Books for Kids (Pack of 12 Books),0
2023-11-16,"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book for Kids - English Short Stories with Colourful Pictures - Read Aloud to Infants, Toddlers",115
